Price Date,States,Commodity,Modal Price (Rs./Quintal)
13 Sep 2019,Delhi,Apple,4560
12 Sep 2019,Delhi,Apple,2917
12 Sep 2019,Delhi,Apple,2700
12 Sep 2019,Delhi,Apple,3927
12 Sep 2019,Delhi,Apple,3667
12 Sep 2019,Delhi,Apple,4680
11 Sep 2019,Delhi,Apple,2917
11 Sep 2019,Delhi,Apple,2700
11 Sep 2019,Delhi,Apple,1429
11 Sep 2019,Delhi,Apple,3927
11 Sep 2019,Delhi,Apple,3667
11 Sep 2019,Delhi,Apple,4680
10 Sep 2019,Delhi,Apple,3438
10 Sep 2019,Delhi,Apple,2940
10 Sep 2019,Delhi,Apple,4461
10 Sep 2019,Delhi,Apple,3867
10 Sep 2019,Delhi,Apple,4900
09 Sep 2019,Delhi,Apple,3120
09 Sep 2019,Delhi,Apple,4461
09 Sep 2019,Delhi,Apple,3867
09 Sep 2019,Delhi,Apple,4860
07 Sep 2019,Delhi,Apple,3200
07 Sep 2019,Delhi,Apple,4636
07 Sep 2019,Delhi,Apple,3867
07 Sep 2019,Delhi,Apple,5060
06 Sep 2019,Delhi,Apple,3280
06 Sep 2019,Delhi,Apple,4636
06 Sep 2019,Delhi,Apple,3867
06 Sep 2019,Delhi,Apple,5100
05 Sep 2019,Delhi,Apple,2704
05 Sep 2019,Delhi,Apple,4738
05 Sep 2019,Delhi,Apple,3867
05 Sep 2019,Delhi,Apple,5100
04 Sep 2019,Delhi,Apple,2704
04 Sep 2019,Delhi,Apple,4738
04 Sep 2019,Delhi,Apple,3867
04 Sep 2019,Delhi,Apple,5100
03 Sep 2019,Delhi,Apple,2704
03 Sep 2019,Delhi,Apple,4738
03 Sep 2019,Delhi,Apple,3867
03 Sep 2019,Delhi,Apple,5100
02 Sep 2019,Delhi,Apple,2704
02 Sep 2019,Delhi,Apple,4738
02 Sep 2019,Delhi,Apple,3867
02 Sep 2019,Delhi,Apple,5200
31 Aug 2019,Delhi,Apple,4738
31 Aug 2019,Delhi,Apple,3867
31 Aug 2019,Delhi,Apple,5240
30 Aug 2019,Delhi,Apple,4738
30 Aug 2019,Delhi,Apple,4000
30 Aug 2019,Delhi,Apple,5320
29 Aug 2019,Delhi,Apple,4479
29 Aug 2019,Delhi,Apple,5200
28 Aug 2019,Delhi,Apple,5886
28 Aug 2019,Delhi,Apple,3867
28 Aug 2019,Delhi,Apple,6380
27 Aug 2019,Delhi,Apple,5886
27 Aug 2019,Delhi,Apple,7150
26 Aug 2019,Delhi,Apple,5886
26 Aug 2019,Delhi,Apple,4833
26 Aug 2019,Delhi,Apple,6800
24 Aug 2019,Delhi,Apple,5943
24 Aug 2019,Delhi,Apple,4917
24 Aug 2019,Delhi,Apple,7300
23 Aug 2019,Delhi,Apple,6000
23 Aug 2019,Delhi,Apple,4917
23 Aug 2019,Delhi,Apple,7750
22 Aug 2019,Delhi,Apple,6000
22 Aug 2019,Delhi,Apple,4917
22 Aug 2019,Delhi,Apple,7750
21 Aug 2019,Delhi,Apple,6000
21 Aug 2019,Delhi,Apple,5333
21 Aug 2019,Delhi,Apple,7750
20 Aug 2019,Delhi,Apple,5629
20 Aug 2019,Delhi,Apple,5333
20 Aug 2019,Delhi,Apple,7750
19 Aug 2019,Delhi,Apple,5629
19 Aug 2019,Delhi,Apple,4750
19 Aug 2019,Delhi,Apple,7450
17 Aug 2019,Delhi,Apple,5329
17 Aug 2019,Delhi,Apple,4750
17 Aug 2019,Delhi,Apple,7150
16 Aug 2019,Delhi,Apple,5343
16 Aug 2019,Delhi,Apple,7250
14 Aug 2019,Delhi,Apple,5300
14 Aug 2019,Delhi,Apple,4750
13 Aug 2019,Delhi,Apple,5243
13 Aug 2019,Delhi,Apple,4689
12 Aug 2019,Delhi,Apple,4948
12 Aug 2019,Delhi,Apple,4346
11 Aug 2019,Delhi,Apple,3213
11 Aug 2019,Delhi,Apple,4948
11 Aug 2019,Delhi,Apple,4346
09 Aug 2019,Delhi,Apple,4948
09 Aug 2019,Delhi,Apple,8083
08 Aug 2019,Delhi,Apple,5005
08 Aug 2019,Delhi,Apple,8250
07 Aug 2019,Delhi,Apple,6133
07 Aug 2019,Delhi,Apple,5268
07 Aug 2019,Delhi,Apple,8500
06 Aug 2019,Delhi,Apple,5367
06 Aug 2019,Delhi,Apple,5268
06 Aug 2019,Delhi,Apple,8583
05 Aug 2019,Delhi,Apple,5367
05 Aug 2019,Delhi,Apple,5555
05 Aug 2019,Delhi,Apple,9167
03 Aug 2019,Delhi,Apple,5367
03 Aug 2019,Delhi,Apple,5715
03 Aug 2019,Delhi,Apple,8917
02 Aug 2019,Delhi,Apple,5367
02 Aug 2019,Delhi,Apple,9167
01 Aug 2019,Delhi,Apple,5367
01 Aug 2019,Delhi,Apple,9167
31 Jul 2019,Delhi,Apple,5367
31 Jul 2019,Delhi,Apple,9167
30 Jul 2019,Delhi,Apple,5367
30 Jul 2019,Delhi,Apple,9167
29 Jul 2019,Delhi,Apple,5367
29 Jul 2019,Delhi,Apple,9167
26 Jul 2019,Delhi,Apple,5367
26 Jul 2019,Delhi,Apple,8833
25 Jul 2019,Delhi,Apple,5367
25 Jul 2019,Delhi,Apple,8750
24 Jul 2019,Delhi,Apple,5367
24 Jul 2019,Delhi,Apple,8750
23 Jul 2019,Delhi,Apple,5367
23 Jul 2019,Delhi,Apple,8417
22 Jul 2019,Delhi,Apple,5367
22 Jul 2019,Delhi,Apple,8333
20 Jul 2019,Delhi,Apple,5367
20 Jul 2019,Delhi,Apple,8333
18 Jul 2019,Delhi,Apple,5367
18 Jul 2019,Delhi,Apple,8333
17 Jul 2019,Delhi,Apple,5367
17 Jul 2019,Delhi,Apple,8000
16 Jul 2019,Delhi,Apple,5367
16 Jul 2019,Delhi,Apple,8000
15 Jul 2019,Delhi,Apple,5367
15 Jul 2019,Delhi,Apple,8000
13 Jul 2019,Delhi,Apple,5367
12 Jul 2019,Delhi,Apple,5367
11 Jul 2019,Delhi,Apple,5367
10 Jul 2019,Delhi,Apple,5367
09 Jul 2019,Delhi,Apple,5367
08 Jul 2019,Delhi,Apple,5367
08 Jul 2019,Delhi,Apple,3257
06 Jul 2019,Delhi,Apple,5367
06 Jul 2019,Delhi,Apple,9000
05 Jul 2019,Delhi,Apple,6000
05 Jul 2019,Delhi,Apple,7750
04 Jul 2019,Delhi,Apple,6000
04 Jul 2019,Delhi,Apple,6667
03 Jul 2019,Delhi,Apple,5750
03 Jul 2019,Delhi,Apple,6667
02 Jul 2019,Delhi,Apple,5750
02 Jul 2019,Delhi,Apple,6667
01 Jul 2019,Delhi,Apple,6000
01 Jul 2019,Delhi,Apple,6500
29 Jun 2019,Delhi,Apple,5167
29 Jun 2019,Delhi,Apple,6317
28 Jun 2019,Delhi,Apple,5333
28 Jun 2019,Delhi,Apple,6233
27 Jun 2019,Delhi,Apple,5000
27 Jun 2019,Delhi,Apple,6233
26 Jun 2019,Delhi,Apple,5000
26 Jun 2019,Delhi,Apple,6233
25 Jun 2019,Delhi,Apple,5000
22 Jun 2019,Delhi,Apple,5167
21 Jun 2019,Delhi,Apple,5167
20 Jun 2019,Delhi,Apple,5167
